1,xyz: 6 0 8
0,./a.out
Device:,wlp2s0
=== Transmission ===
BSSID,dB_mean,measure_count,antenna_index,channel,TSFT,flags,data_rate,rx_flag,timestamp,mcs,ampdu_status
3C:41:0E:FF:20:02,-78,3,3,108,239,16,48,0,48,4294967295,4294967295
3C:41:0E:FF:20:04,-79,3,3,108,128,16,48,0,193,4294967295,4294967295
C8:84:A1:CE:B5:40,-82,3,3,108,224,16,48,0,33,4294967295,4294967295
C8:84:A1:CE:B5:41,-81,3,3,108,113,16,48,0,178,4294967295,4294967295
C8:84:A1:CE:B5:42,-82,3,3,108,14,16,48,0,79,4294967295,4294967295
C8:84:A1:CE:B5:44,-81,3,3,108,159,16,48,0,225,4294967295,4294967295
C8:84:A1:CE:B5:40,-83,3,3,108,143,16,48,0,208,4294967295,4294967295
3C:41:0E:FF:23:80,-77,3,3,108,37,16,48,0,102,4294967295,4294967295
3C:41:0E:FF:23:80,-77,3,3,108,94,16,48,0,160,4294967295,4294967295
C8:84:A1:CE:B5:42,-82,3,3,108,10,16,48,0,75,4294967295,4294967295
3C:41:0E:FF:23:82,-78,3,3,108,139,16,48,0,204,4294967295,4294967295
3C:41:0E:FF:23:84,-77,3,3,108,146,16,48,0,212,4294967295,4294967295
A0:46:88:F6:41:43,-85,3,3,108,201,16,48,0,10,4294967295,4294967295
A0:46:88:F6:F4:81,-85,3,3,108,249,16,48,0,59,4294967295,4294967295
A4:88:73:9C:AD:00,-78,3,3,108,252,16,48,0,62,4294967295,4294967295
A4:88:73:9C:AD:00,-79,3,3,108,40,16,48,0,105,4294967295,4294967295
A4:88:73:9C:AD:00,-79,3,3,108,38,16,48,0,103,4294967295,4294967295
A4:88:73:9C:AD:00,-79,3,3,108,47,16,48,0,112,4294967295,4294967295
A4:88:73:9C:AD:02,-79,3,3,108,220,16,48,0,29,4294967295,4294967295
A4:88:73:9C:AD:02,-79,3,3,108,247,16,48,0,56,4294967295,4294967295
A4:88:73:9C:AD:02,-78,3,3,108,0,16,48,0,65,4294967295,4294967295
A4:88:73:9C:AD:02,-79,3,3,108,27,16,48,0,93,4294967295,4294967295
A4:88:73:9C:AD:04,-79,3,3,108,72,16,48,0,137,4294967295,4294967295
A4:88:73:9C:AD:04,-79,3,3,108,88,16,48,0,153,4294967295,4294967295
A4:88:73:9C:AD:04,-79,3,3,108,149,16,48,0,214,4294967295,4294967295
A4:88:73:9C:AD:04,-78,3,3,108,165,16,48,0,230,4294967295,4294967295
A4:88:73:9C:AD:00,-79,3,3,108,2,16,48,0,67,4294967295,4294967295
A4:88:73:9C:AD:01,-79,3,3,108,147,16,48,0,212,4294967295,4294967295
A4:88:73:9C:AD:02,-79,3,3,108,47,16,48,0,112,4294967295,4294967295
A4:88:73:9C:AD:04,-78,3,3,108,193,16,48,0,2,4294967295,4294967295
A0:46:88:F6:05:00,-84,3,3,108,204,16,48,0,13,4294967295,4294967295
3C:41:0E:FE:F4:81,-85,3,3,108,93,16,48,0,158,4294967295,4294967295
3C:41:0E:FF:23:80,-77,3,3,108,9,16,48,0,74,4294967295,4294967295
3C:41:0E:FF:23:81,-77,3,3,108,153,16,48,0,218,4294967295,4294967295
3C:41:0E:FF:23:82,-76,3,3,108,54,16,48,0,119,4294967295,4294967295
3C:41:0E:FF:23:84,-77,3,3,108,199,16,48,0,8,4294967295,4294967295
A4:88:73:9C:AD:00,-79,3,3,108,236,16,48,0,45,4294967295,4294967295
A4:88:73:9C:AD:00,-79,3,3,108,27,16,48,0,93,4294967295,4294967295
3C:41:0E:FF:20:00,-78,3,3,108,8,16,48,0,73,4294967295,4294967295
A4:88:73:9C:AD:00,-79,3,3,108,219,16,48,0,28,4294967295,4294967295
3C:41:0E:FF:20:00,-77,3,3,108,240,16,48,0,49,4294967295,4294967295
A4:88:73:9C:AD:00,-79,3,3,108,223,16,48,0,33,4294967295,4294967295
3C:41:0E:FF:20:00,-79,3,3,108,170,16,48,0,235,4294967295,4294967295
A4:88:73:9C:AD:02,-78,3,3,108,111,16,48,0,176,4294967295,4294967295
3C:41:0E:FF:20:02,-78,3,3,108,39,16,48,0,104,4294967295,4294967295
A4:88:73:9C:AD:02,-79,3,3,108,235,16,48,0,44,4294967295,4294967295
A4:88:73:9C:AD:04,-79,3,3,108,243,16,48,0,52,4294967295,4294967295
3C:41:0E:FF:20:02,-78,3,3,108,122,16,48,0,187,4294967295,4294967295
7F:4C:9F:7A:85:1E,-79,3,3,108,147,16,12,0,213,4294967295,4294967295
3C:41:0E:FF:20:04,-78,3,3,108,51,16,48,0,116,4294967295,4294967295
A4:88:73:9C:AD:04,-78,3,3,108,34,16,48,0,99,4294967295,4294967295
7F:4C:9F:7A:00:00,-82,3,3,108,202,16,48,0,11,4294967295,4294967295
A4:88:73:9C:AD:04,-79,3,3,108,116,16,48,0,181,4294967295,4294967295
3C:41:0E:FF:20:04,-77,3,3,108,144,16,48,0,210,4294967295,4294967295
A4:88:73:9C:AD:04,-79,3,3,108,255,16,48,0,64,4294967295,4294967295
3C:41:0E:FF:20:04,-78,3,3,108,217,16,48,0,26,4294967295,4294967295
3C:41:0E:FF:20:04,-78,3,3,108,251,16,48,0,60,4294967295,4294967295
3C:41:0E:FF:20:00,-78,3,3,108,194,16,48,0,3,4294967295,4294967295
3C:41:0E:FF:20:01,-77,3,3,108,83,16,48,0,149,4294967295,4294967295
3C:41:0E:FF:20:02,-78,3,3,108,239,16,48,0,48,4294967295,4294967295
3C:41:0E:FF:20:04,-78,3,3,108,129,16,48,0,194,4294967295,4294967295
